id_producto,categoria,costo_produccion,presupuesto_marketing,unidades_inventario,puntuacion_reviews,valor_venta
P0001,Deportes,81.16,1255.74,322,3.7,167.83
P0002,Ropa,190.64,2486.22,31,4.0,356.56
P0003,Electronica,149.08,1437.57,337,3.2,275.4
P0004,Electronica,123.75,2129.36,99,4.2,250.18
P0005,Deportes,39.64,605.34,235,4.7,93.97
P0006,Electronica,39.64,294.89,358,4.4,81.32
P0007,Hogar,21.04,392.69,283,2.6,61.26
P0008,Hogar,174.57,3026.7,498,3.7,331.7
P0009,Electronica,124.21,2390.67,168,2.8,237.02
P0010,Hogar,144.53,2295.97,100,3.1,283.88
P0011,Electronica,13.91,197.54,234,5.0,36.48
P0012,Electronica,194.28,2190.24,393,2.9,373.87
P0013,Electronica,168.16,3193.51,483,3.7,335.41
P0014,Deportes,50.34,905.66,217,4.0,117.1
P0015,Electronica,44.55,252.97,219,4.3,85.3
P0016,Deportes,44.85,241.99,44,3.9,88.46
P0017,Electronica,67.81,721.97,485,2.5,124.39
P0018,Electronica,109.7,1882.27,108,3.3,213.28
P0019,Electronica,92.07,1823.83,287,3.8,199.91
P0020,Hogar,65.33,474.05,162,2.7,116.48
P0021,Deportes,126.25,1756.39,78,3.4,251.68
P0022,Deportes,36.5,391.04,429,2.6,102.2
P0023,Electronica,65.51,1280.64,384,2.7,134.42
P0024,Electronica,79.61,1403.67,45,3.5,166.51
P0025,Hogar,96.65,1698.62,66,2.8,196.74
P0026,Hogar,159.18,1915.0,307,3.9,314.69
P0027,Hogar,47.94,538.0,285,4.2,102.84
P0028,Deportes,107.7,980.19,35,4.5,195.36
P0029,Deportes,122.56,716.44,218,3.0,200.51
P0030,Deportes,18.83,338.39,420,2.9,48.93
P0031,Electronica,125.43,2156.58,426,2.8,240.79
P0032,Deportes,42.4,847.82,301,4.1,121.16
P0033,Ropa,22.36,446.07,488,4.3,81.66
P0034,Ropa,190.29,2536.85,105,2.6,338.83
P0035,Hogar,193.47,3198.99,269,4.8,371.08
P0036,Deportes,163.6,3136.46,410,2.6,321.87
P0037,Ropa,67.88,1204.51,289,3.9,159.38
P0038,Hogar,28.56,248.76,354,4.3,69.89
P0039,Deportes,140.0,1646.14,136,4.7,259.95
P0040,Electronica,93.63,649.55,26,4.3,174.35
P0041,Ropa,33.19,640.92,156,4.5,78.82
P0042,Electronica,104.08,1466.76,390,3.3,207.98
P0043,Deportes,16.53,139.34,195,4.5,42.99
P0044,Ropa,182.77,2755.35,347,2.7,337.66
P0045,Deportes,59.17,844.47,334,4.7,140.76
P0046,Electronica,135.88,1409.41,234,3.9,243.82
P0047,Ropa,69.23,464.07,496,4.5,121.17
P0048,Electronica,108.81,1640.16,101,3.6,214.97
P0049,Deportes,113.87,1458.06,242,4.1,216.86
P0050,Deportes,45.12,748.31,497,3.8,106.76
P0051,Electronica,194.22,2486.49,391,4.3,365.73
P0052,Ropa,157.28,2796.87,442,2.7,305.04
P0053,Electronica,188.5,2503.02,421,2.7,345.7
P0054,Deportes,180.02,2414.8,462,3.1,326.47
P0055,Electronica,123.6,2243.32,122,2.9,245.6
P0056,Deportes,185.16,2046.43,292,4.7,350.98
P0057,Electronica,26.81,187.94,33,3.0,49.24
P0058,Ropa,47.24,256.6,178,4.9,100.44
P0059,Ropa,18.59,303.52,171,3.3,60.84
P0060,Electronica,71.81,1027.22,127,3.0,148.31
P0061,Electronica,83.85,1304.81,207,4.5,187.47
P0062,Ropa,61.56,504.45,320,4.1,117.25
P0063,Deportes,167.46,1179.85,117,3.7,274.98
P0064,Ropa,77.78,405.87,150,3.9,146.29
P0065,Deportes,63.38,650.2,312,4.3,133.2
P0066,Electronica,113.11,1566.43,190,3.1,230.18
P0067,Electronica,36.78,400.3,443,5.0,100.06
P0068,Deportes,162.42,1877.92,493,4.9,311.06
P0069,Electronica,24.16,448.47,202,4.1,73.36
P0070,Deportes,197.51,2019.31,490,3.0,349.73
P0071,Hogar,156.73,1992.01,383,4.2,283.74
P0072,Ropa,47.76,800.21,58,2.7,102.32
P0073,Hogar,11.05,120.98,34,2.6,41.82
P0074,Deportes,164.94,2363.8,395,3.1,316.75
P0075,Ropa,144.3,2588.09,23,3.7,295.05
P0076,Deportes,148.51,2857.75,368,4.7,299.14
P0077,Ropa,156.54,1128.04,489,4.3,276.22
P0078,Ropa,24.07,454.89,428,4.4,72.04
P0079,Ropa,78.11,967.14,416,3.6,149.04
P0080,Ropa,32.02,284.13,229,3.4,65.56
P0081,Deportes,173.99,2068.23,180,3.4,322.33
P0082,Ropa,128.43,2530.13,35,5.0,275.86
P0083,Ropa,72.87,902.81,445,2.6,138.37
P0084,Hogar,22.08,219.28,127,4.7,49.37
P0085,Electronica,69.09,1001.87,401,3.9,135.81
P0086,Electronica,71.78,617.46,469,3.6,140.06
P0087,Hogar,148.63,912.28,330,4.3,264.61
P0088,Hogar,131.14,909.22,246,3.7,235.81
P0089,Deportes,178.57,1235.83,189,4.7,321.28
P0090,Deportes,99.72,725.82,53,4.8,188.15
P0091,Deportes,32.72,231.74,433,3.6,74.37
P0092,Hogar,145.52,2126.5,270,3.2,276.36
P0093,Hogar,154.55,1194.39,266,4.0,287.2
P0094,Ropa,116.64,1187.98,288,4.8,237.04
P0095,Deportes,156.48,2887.34,160,3.0,295.58
P0096,Deportes,103.82,1257.2,293,4.1,198.82
P0097,Deportes,109.32,1641.26,435,4.1,217.63
P0098,Electronica,91.23,691.96,115,4.3,169.52
P0099,Ropa,14.83,116.92,246,2.8,56.51
P0100,Deportes,30.5,171.2,398,4.3,72.91
P0101,Deportes,15.97,120.32,58,4.8,42.31
P0102,Deportes,130.92,1201.7,321,2.9,240.88
P0103,Electronica,69.73,533.79,48,3.1,133.48
P0104,Electronica,106.63,675.03,465,4.9,200.99
P0105,Hogar,182.44,1242.33,496,3.0,331.59
P0106,Ropa,57.37,683.37,337,4.6,126.23
P0107,Hogar,87.97,712.12,264,3.7,161.66
P0108,Ropa,153.55,1606.75,255,3.1,258.41
P0109,Electronica,53.47,671.12,204,4.7,115.47
P0110,Deportes,24.63,378.22,291,3.6,75.57
P0111,Hogar,65.05,363.61,459,3.8,122.94
P0112,Deportes,40.63,690.35,255,3.4,69.35
P0113,Hogar,186.64,2691.07,258,4.0,348.8
P0114,Electronica,163.54,1018.26,396,2.9,290.1
P0115,Electronica,130.35,2359.81,285,3.5,265.68
P0116,Electronica,175.58,3303.2,433,4.9,345.54
P0117,Hogar,162.7,962.56,428,3.1,273.15
P0118,Ropa,45.45,416.01,378,4.1,92.89
P0119,Hogar,179.59,3069.74,359,3.3,340.65
P0120,Ropa,112.48,1824.86,408,4.4,206.92
P0121,Hogar,163.41,1269.34,84,2.8,292.14
P0122,Hogar,180.26,1467.36,497,4.9,336.81
P0123,Electronica,70.42,743.43,196,3.6,123.31
P0124,Deportes,30.91,379.2,22,3.1,81.89
P0125,Deportes,53.31,760.94,448,2.7,107.65
P0126,Ropa,91.15,960.15,161,2.9,182.68
P0127,Deportes,165.42,1974.79,395,3.8,307.01
P0128,Hogar,173.54,2813.44,177,3.3,334.43
P0129,Hogar,11.32,62.83,343,4.6,44.96
P0130,Electronica,107.04,940.51,165,3.6,189.47
P0131,Electronica,89.31,1402.19,465,3.1,189.46
P0132,Deportes,52.2,961.95,312,4.0,106.33
P0133,Ropa,32.77,415.37,172,4.3,74.94
P0134,Deportes,74.15,962.59,451,2.9,150.22
P0135,Deportes,189.15,1249.82,212,2.9,318.13
P0136,Deportes,71.41,836.3,456,2.6,144.62
P0137,Deportes,108.57,1410.24,482,4.3,226.32
P0138,Hogar,143.57,1240.02,92,4.2,271.28
P0139,Ropa,79.09,714.87,418,3.7,132.07
P0140,Hogar,194.64,2074.72,324,4.6,357.71
P0141,Ropa,192.86,1022.36,396,4.5,342.52
P0142,Electronica,57.84,568.64,363,4.0,104.97
P0143,Deportes,104.48,853.78,471,4.7,204.53
P0144,Hogar,67.17,665.82,159,3.0,135.75
P0145,Ropa,64.12,435.79,206,2.8,106.77
P0146,Electronica,17.01,312.27,312,3.2,56.1
P0147,Electronica,125.82,1749.39,80,2.6,239.44
P0148,Deportes,105.51,1602.33,446,3.8,215.82
P0149,Ropa,19.78,333.05,399,4.8,50.67
P0150,Hogar,62.94,785.28,217,2.6,124.62
P0151,Deportes,182.57,1150.89,314,2.8,293.82
P0152,Hogar,55.52,724.9,459,3.6,93.01
P0153,Electronica,37.53,518.01,338,4.8,92.06
P0154,Hogar,103.0,1666.7,321,3.3,215.34
P0155,Hogar,197.27,2263.65,363,3.8,362.71
P0156,Deportes,55.99,387.1,30,2.6,104.09
P0157,Hogar,137.71,1274.73,81,2.9,244.68
P0158,Deportes,154.71,1616.14,352,5.0,279.96
P0159,Electronica,55.15,810.09,245,4.9,121.21
P0160,Deportes,148.36,2012.01,172,2.5,279.5
P0161,Deportes,79.88,826.08,218,4.9,156.49
P0162,Ropa,130.14,2576.48,71,4.1,274.75
P0163,Hogar,130.37,1836.47,279,4.7,257.74
P0164,Electronica,111.8,956.83,78,3.6,208.01
P0165,Deportes,27.16,177.27,91,3.8,72.17
P0166,Electronica,168.71,1230.38,167,3.7,290.91
P0167,Ropa,70.95,616.51,368,4.2,146.35
P0168,Hogar,45.44,336.72,82,2.8,85.03
P0169,Deportes,17.75,138.42,329,2.6,45.79
P0170,Hogar,122.27,1134.23,392,3.3,216.13
P0171,Ropa,138.74,1054.51,262,4.3,241.59
P0172,Ropa,13.15,242.64,385,3.0,40.5
P0173,Electronica,107.3,665.64,349,4.2,176.41
P0174,Deportes,53.03,682.37,126,4.9,114.73
P0175,Electronica,132.58,1479.06,245,2.7,225.89
P0176,Ropa,43.13,851.2,332,4.2,110.51
P0177,Hogar,141.28,943.83,237,3.6,259.3
P0178,Electronica,83.48,915.59,444,4.7,158.39
P0179,Electronica,187.98,3673.52,260,2.9,374.22
P0180,Hogar,36.13,649.71,278,4.2,97.18
P0181,Electronica,74.8,1290.75,395,4.6,170.04
P0182,Hogar,31.56,279.89,281,4.9,79.58
P0183,Deportes,185.69,1404.43,24,4.2,334.97
P0184,Hogar,176.69,2655.59,280,3.7,330.15
P0185,Deportes,59.01,1117.69,73,4.0,131.7
P0186,Hogar,135.4,1807.79,66,4.7,258.08
P0187,Ropa,165.27,2243.41,234,3.9,304.94
P0188,Ropa,115.49,1062.47,196,2.6,207.85
P0189,Deportes,110.63,1830.09,28,4.8,230.02
P0190,Deportes,55.95,436.73,118,4.2,125.29
P0191,Ropa,27.69,272.89,39,4.2,70.64
P0192,Deportes,180.47,2054.03,397,3.0,333.2
P0193,Hogar,181.08,2284.17,260,4.1,344.34
P0194,Hogar,130.29,1125.2,80,3.5,262.31
P0195,Ropa,74.42,500.29,398,4.1,124.04
P0196,Electronica,76.35,1081.06,438,2.8,143.27
P0197,Hogar,147.93,1380.11,197,4.1,284.74
P0198,Deportes,180.45,2475.52,357,5.0,341.67
P0199,Electronica,178.55,1306.17,81,2.6,315.81
P0200,Electronica,158.18,1932.5,164,4.9,302.72
P0201,Hogar,131.99,1714.4,235,3.5,270.83
P0202,Hogar,25.99,150.15,22,4.7,54.36
P0203,Electronica,40.71,409.1,179,4.5,103.97
P0204,Electronica,180.73,1268.04,246,3.9,333.45
P0205,Ropa,125.22,745.14,288,4.3,214.09
P0206,Deportes,11.75,233.23,139,4.7,53.62
P0207,Ropa,29.28,287.98,400,3.5,57.52
P0208,Hogar,136.07,2333.34,108,3.3,267.57
P0209,Ropa,10.96,96.66,348,4.2,36.81
P0210,Ropa,40.55,617.27,87,4.5,71.64
P0211,Ropa,114.26,1874.25,417,4.4,235.12
P0212,Ropa,141.46,1971.19,376,4.5,275.55
P0213,Deportes,133.87,1616.3,117,3.6,265.92
P0214,Deportes,52.61,588.05,286,4.5,119.29
P0215,Electronica,145.31,1486.96,124,2.8,284.61
P0216,Hogar,55.08,1043.38,459,3.9,124.06
P0217,Ropa,71.83,1254.1,342,2.5,144.27
P0218,Electronica,151.83,2956.95,142,3.3,301.54
P0219,Electronica,133.43,915.92,495,3.4,231.07
P0220,Electronica,171.35,2735.26,48,3.5,307.15
P0221,Deportes,134.95,2574.19,156,4.2,272.71
P0222,Ropa,117.98,910.63,214,3.5,192.0
P0223,Ropa,27.8,166.73,428,3.6,67.55
P0224,Hogar,79.87,1287.25,245,3.1,148.65
P0225,Ropa,60.39,822.34,351,3.4,115.09
P0226,Ropa,56.36,993.48,189,3.1,113.22
P0227,Electronica,194.87,1382.91,28,2.7,331.41
P0228,Hogar,84.69,1433.72,482,4.0,175.78
P0229,Ropa,179.49,1440.3,59,4.2,329.89
P0230,Deportes,129.92,968.53,44,4.0,228.48
P0231,Ropa,161.01,1201.78,280,3.7,288.85
P0232,Electronica,105.5,1816.56,414,3.4,238.89
P0233,Deportes,119.61,1791.51,462,4.7,242.52
P0234,Electronica,103.58,1330.59,245,3.8,199.18
P0235,Ropa,47.1,489.01,491,3.7,91.14
P0236,Deportes,147.27,2674.13,143,2.6,285.44
P0237,Hogar,63.35,689.67,482,3.4,116.96
P0238,Hogar,14.62,252.18,57,3.5,47.16
P0239,Deportes,132.64,1536.9,347,3.5,248.23
P0240,Deportes,43.65,465.05,270,4.0,73.15
P0241,Electronica,188.69,2253.0,408,3.8,346.91
P0242,Deportes,191.25,1820.83,195,4.0,354.05
P0243,Electronica,183.82,2980.48,109,4.4,353.35
P0244,Ropa,80.33,1007.4,421,4.5,156.61
P0245,Electronica,12.94,109.77,473,4.3,29.33
P0246,Deportes,186.38,3446.84,56,4.9,354.43
P0247,Deportes,91.35,982.78,335,2.5,177.49
P0248,Ropa,193.66,2547.27,195,3.0,354.62
P0249,Deportes,193.09,3590.91,480,2.5,381.67
P0250,Deportes,172.07,2471.54,303,4.1,343.35
P0251,Hogar,65.95,445.39,472,4.7,140.55
P0252,Hogar,83.17,1588.34,480,3.1,166.6
P0253,Ropa,171.72,2475.45,100,4.8,332.54
P0254,Electronica,70.22,703.86,133,2.7,126.76
P0255,Hogar,42.2,299.16,59,4.8,86.2
P0256,Electronica,115.79,1958.05,320,3.4,233.27
P0257,Deportes,187.87,2686.75,243,2.8,341.22
P0258,Hogar,142.25,1849.52,337,3.7,246.77
P0259,Ropa,118.31,2177.9,368,3.1,227.64
P0260,Ropa,28.46,478.95,134,3.2,65.2
P0261,Ropa,126.85,922.85,205,3.3,240.45
P0262,Hogar,198.11,1916.88,342,4.5,353.09
P0263,Electronica,36.62,319.6,75,3.8,85.44
P0264,Deportes,108.48,1752.95,59,3.3,212.6
P0265,Electronica,176.7,972.38,373,4.0,316.76
P0266,Electronica,150.75,2042.41,59,4.3,300.04
P0267,Deportes,142.43,2341.1,366,3.2,288.23
P0268,Deportes,143.47,2604.19,480,3.5,267.45
P0269,Hogar,78.3,793.28,256,2.8,149.38
P0270,Hogar,65.78,1139.23,308,3.0,144.04
P0271,Hogar,163.78,1090.69,281,4.2,292.3
P0272,Hogar,163.92,2900.86,235,3.0,325.26
P0273,Hogar,174.74,1207.86,166,3.8,305.85
P0274,Deportes,183.52,2011.25,355,4.3,329.56
P0275,Electronica,107.16,1817.37,187,2.8,194.12
P0276,Hogar,105.29,763.22,111,3.9,186.24
P0277,Hogar,161.68,1364.38,372,3.1,312.09
P0278,Electronica,133.49,2113.65,78,4.9,262.15
P0279,Hogar,143.37,2265.32,78,3.7,259.27
P0280,Electronica,161.2,2356.29,323,4.5,318.75
P0281,Electronica,179.1,2759.79,188,3.9,351.9
P0282,Deportes,74.22,975.32,288,2.6,156.71
P0283,Ropa,81.36,714.1,382,4.1,161.53
P0284,Deportes,27.86,283.77,64,4.9,80.42
P0285,Ropa,119.87,925.87,364,4.0,236.72
P0286,Ropa,16.83,313.49,200,4.5,46.56
P0287,Ropa,98.46,1353.91,189,4.7,188.83
P0288,Hogar,113.1,1245.54,375,3.1,199.11
P0289,Deportes,64.44,768.77,210,3.0,124.38
P0290,Ropa,122.26,2348.52,174,4.0,264.69
P0291,Electronica,15.8,115.34,441,3.5,48.79
P0292,Hogar,17.1,235.87,207,4.6,58.25
P0293,Deportes,166.29,2093.31,26,4.8,297.11
P0294,Ropa,78.44,1111.64,152,3.4,149.96
P0295,Electronica,34.14,179.97,254,3.1,51.95
P0296,Deportes,109.23,1975.08,64,4.5,237.56
P0297,Deportes,156.3,2966.85,333,3.2,325.64
P0298,Hogar,51.01,687.46,268,4.6,121.06
P0299,Deportes,128.35,1982.98,50,3.6,240.32
P0300,Hogar,26.22,493.92,42,4.2,85.03
P0301,Ropa,19.82,309.36,445,2.7,46.88
P0302,Hogar,110.96,808.69,413,4.1,190.97
P0303,Electronica,112.72,1537.99,179,3.6,208.2
P0304,Hogar,131.11,1848.75,382,4.0,249.34
P0305,Electronica,147.96,1681.12,456,2.9,270.56
P0306,Hogar,195.41,3135.68,177,4.3,375.72
P0307,Deportes,108.1,2055.58,58,4.7,212.63
P0308,Ropa,71.36,1347.53,434,3.0,161.12
P0309,Electronica,161.09,1894.84,101,2.7,291.53
P0310,Hogar,61.46,411.69,375,2.6,106.29
P0311,Hogar,93.4,1846.76,277,4.1,208.64
P0312,Hogar,24.91,438.0,225,4.0,54.29
P0313,Deportes,14.82,101.81,96,3.9,27.48
P0314,Deportes,192.9,3628.96,496,3.1,390.15
P0315,Electronica,168.84,3047.3,31,3.5,350.62
P0316,Electronica,142.24,1818.19,314,4.0,265.1
P0317,Deportes,87.7,1216.32,469,3.7,173.92
P0318,Electronica,42.93,471.59,243,5.0,87.36
P0319,Ropa,39.72,231.23,32,2.8,78.26
P0320,Ropa,57.55,577.11,65,4.2,114.11
P0321,Deportes,114.35,1948.84,174,3.5,226.98
P0322,Electronica,145.77,738.98,132,3.6,255.53
P0323,Hogar,135.44,1354.74,252,4.3,240.77
P0324,Ropa,63.19,693.35,36,4.2,126.03
P0325,Deportes,191.42,2500.12,379,5.0,344.09
P0326,Electronica,150.2,2823.43,242,2.8,292.22
P0327,Deportes,115.33,1175.81,373,2.8,209.58
P0328,Hogar,126.23,1288.09,207,4.3,238.9
P0329,Ropa,89.72,1441.13,467,3.9,185.3
P0330,Deportes,57.07,672.47,363,3.2,124.09
P0331,Deportes,77.63,649.69,384,2.7,127.54
P0332,Deportes,153.99,1815.02,182,2.7,265.92
P0333,Hogar,12.73,90.55,345,4.7,49.7
P0334,Deportes,32.05,245.05,486,3.0,47.59
P0335,Hogar,18.74,233.79,433,3.3,51.12
P0336,Hogar,17.74,200.18,474,3.1,34.31
P0337,Hogar,172.54,3230.41,93,3.4,356.15
P0338,Ropa,143.69,1499.54,252,2.7,261.53
P0339,Ropa,100.09,1372.12,243,3.8,194.39
P0340,Deportes,28.59,414.1,338,2.7,76.94
P0341,Deportes,103.41,537.36,431,4.5,177.73
P0342,Ropa,99.96,1494.71,79,3.1,186.6
P0343,Electronica,42.91,329.14,354,3.9,77.83
P0344,Ropa,92.43,1794.63,241,4.7,189.39
P0345,Hogar,85.72,619.75,56,4.1,162.09
P0346,Ropa,127.01,1424.97,496,3.8,242.95
P0347,Hogar,130.67,820.64,297,3.3,238.53
P0348,Deportes,18.61,371.33,215,3.3,33.59
P0349,Electronica,81.18,1017.42,423,4.2,161.4
P0350,Deportes,128.91,1795.82,371,5.0,243.2
P0351,Hogar,105.6,634.25,261,4.2,190.03
P0352,Hogar,172.73,2806.76,343,3.9,358.07
P0353,Hogar,135.15,1101.28,238,4.3,249.17
P0354,Electronica,40.96,756.56,211,3.7,104.07
P0355,Ropa,23.41,189.08,36,2.7,72.0
P0356,Deportes,132.06,1038.03,31,3.9,249.62
P0357,Deportes,15.04,83.45,425,4.9,44.25
P0358,Ropa,121.3,1465.43,420,2.9,213.0
P0359,Deportes,188.64,2541.47,413,4.2,354.49
P0360,Electronica,119.34,714.33,393,3.0,202.62
P0361,Deportes,83.75,1393.01,212,3.8,157.24
P0362,Hogar,132.22,1560.11,41,2.7,245.44
P0363,Ropa,97.07,1248.89,493,3.6,191.24
P0364,Electronica,113.67,1319.87,139,4.4,236.59
P0365,Ropa,188.88,2079.84,229,3.4,338.3
P0366,Electronica,83.36,1116.57,325,4.2,171.17
P0367,Hogar,192.63,1411.71,289,4.5,333.02
P0368,Ropa,182.02,1406.82,211,4.8,333.9
P0369,Deportes,47.2,846.14,194,3.1,101.98
P0370,Electronica,23.18,444.86,304,3.5,49.44
P0371,Ropa,29.15,308.98,223,2.9,64.27
P0372,Deportes,13.46,121.96,183,5.0,51.53
P0373,Ropa,27.94,409.6,270,4.8,76.65
P0374,Ropa,139.77,1555.78,246,3.8,270.23
P0375,Ropa,23.53,126.61,455,4.6,46.35
P0376,Electronica,70.61,518.44,400,3.8,126.86
P0377,Deportes,170.53,2684.07,479,4.1,336.37
P0378,Hogar,14.42,214.63,26,2.7,32.17
P0379,Electronica,164.75,890.71,48,4.4,289.34
P0380,Electronica,63.55,529.34,414,2.8,95.71
P0381,Electronica,32.45,274.73,52,4.6,104.33
P0382,Hogar,142.38,2146.86,153,4.5,276.31
P0383,Deportes,129.5,685.79,386,4.3,241.41
P0384,Deportes,176.72,1159.57,98,2.6,297.9
P0385,Deportes,149.66,2544.03,435,3.3,296.02
P0386,Ropa,162.66,1248.93,454,3.2,299.89
P0387,Ropa,63.59,940.57,478,3.4,142.85
P0388,Ropa,43.71,374.71,77,2.7,84.51
P0389,Hogar,152.62,990.75,490,4.8,271.39
P0390,Ropa,163.3,1412.15,45,3.9,302.73
P0391,Hogar,198.2,3138.3,449,3.3,399.9
P0392,Deportes,88.4,1576.65,245,3.5,183.56
